data;id_venda;filial;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2023-02-14 15:54:43.554872;43;Lajeado;Adriano Soares;Tenis NB;Victor Hayden;masculino;credito
2023-02-14 16:31:49.504924;44;Caxias do Sul;Mateus Kienzle;Tenis NB;Frances Alfonso;feminino;credito
2023-02-14 16:31:53.016871;45;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Ronald Wallach;masculino;boleto
2023-02-15 08:09:53.681871;46;Lajeado;Adriano Soares;Tenis Adidas;Edward Gaines;masculino;credito
2023-02-15 08:22:43.728871;47;Canoas;Carlos Henrique;Tenis Nike;Melinda May;feminino;credito
2023-02-15 13:48:51.718871;48;Lajeado;Juliano Faccioni;Tenis Nike;Joan Wilson;feminino;credito
2023-02-15 14:14:49.704871;49;São Paulo;Claudio Bueno;Tenis NB;Elsa Aggas;feminino;credito
2023-02-15 15:42:50.664871;50;Lajeado;Adriano Soares;Tenis Fila;Michelle Wagner;feminino;credito
2023-02-15 16:56:52.415871;51;Canoas;Carlos Henrique;Tenis Fila;Karen Lemley;feminino;pix
2023-02-15 17:27:44.184878;52;Florianópolis;Claudia dos Santos;Tenis Fila;Randy Weiland;masculino;credito
2023-02-16 10:45:44.475871;53;Porto Alegre;Rodrigo Tadewald;Tenis Fila;John Roache;masculino;credito
2023-02-16 11:04:46.769966;54;Canoas;Carlos Henrique;Tenis Fila;Martin Burke;masculino;credito
2023-02-16 11:49:46.467939;55;Florianópolis;Mario Sérgio;Tenis Fila;Paul Hines;masculino;credito
2023-02-16 12:51:52.963871;56;Florianópolis;Mario Sérgio;Tenis Fila;Carmen Rynn;feminino;credito
2023-02-16 13:31:53.755873;57;Porto Alegre;Luiza Cherobini;Tenis NB;Ann Compton;feminino;credito
2023-02-16 18:13:56.047872;58;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Lawrence Downs;masculino;credito
2023-02-17 08:03:50.686871;59;Porto Alegre;Luiza Cherobini;Tenis Fila;Carol Hinkle;feminino;credito
2023-02-17 08:12:43.321924;60;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Edward Wright;masculino;credito
2023-02-17 10:11:53.029871;61;São Paulo;Cassia Moraes;Tenis NB;Lois Salinas;feminino;credito
2023-02-17 14:24:47.619871;62;Canoas;Luis Fernando;Tenis Adidas;David Williams;masculino;credito
2023-02-17 15:51:40.302872;63;Porto Alegre;Luiza Cherobini;Tenis Adidas;Patricia Mong;feminino;credito
2023-02-18 08:14:47.703876;64;Lajeado;Adriano Soares;Tenis NB;Tabitha Lanasa;feminino;credito
2023-02-18 10:54:48.351924;65;Lajeado;Adriano Soares;Tenis NB;Robert Martir;masculino;credito
2023-02-18 11:11:54.189924;66;Florianópolis;Mario Sérgio;Tenis Fila;Mitchell Howe;masculino;credito
2023-02-18 11:43:45.903872;67;Porto Alegre;Luiza Cherobini;Tenis NB;Willie Kelly;masculino;credito
2023-02-18 12:04:46.624876;68;São Paulo;Claudio Bueno;Tenis NB;Clarence Nicholson;masculino;credito
2023-02-18 13:09:54.804870;69;Canoas;Luis Fernando;Tenis Adidas;Gwendolyn Carbonaro;feminino;credito
2023-02-18 13:12:54.032871;70;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Tracey Barrett;masculino;credito
2023-02-18 15:22:54.740924;71;Florianópolis;Claudia dos Santos;Tenis Nike;Bryan Ogrodowicz;masculino;pix
2023-02-18 15:31:52.574870;72;Porto Alegre;Luiza Cherobini;Tenis NB;Jill Squire;feminino;credito
2023-02-18 17:14:41.212871;73;Porto Alegre;Luiza Cherobini;Tenis Nike;Sam Nordstrom;masculino;credito
2023-02-19 07:31:51.487872;74;Porto Alegre;Luiza Cherobini;Tenis Adidas;Randall Johnson;masculino;credito
2023-02-19 08:25:45.027872;75;São Paulo;Claudio Bueno;Tenis Adidas;Suzanne Rico;feminino;credito
2023-02-19 12:30:44.646871;76;Canoas;Carlos Henrique;Tenis Nike;Regenia Nedd;feminino;credito
2023-02-19 14:37:43.917870;77;São Paulo;Claudio Bueno;Tenis Fila;Walter Hamlin;masculino;boleto
2023-02-20 09:18:54.086870;78;Caxias do Sul;Mateus Kienzle;Tenis Fila;Jane Street;feminino;credito
2023-02-20 09:38:51.616878;79;Florianópolis;Claudia dos Santos;Tenis Fila;Ashley Auten;feminino;credito
2023-02-20 10:37:46.770943;80;Florianópolis;Claudia dos Santos;Tenis Nike;John Smith;masculino;credito
2023-02-20 11:33:55.503871;81;São Paulo;Cassia Moraes;Tenis Fila;Debra White;feminino;credito
2023-02-20 12:55:46.695924;82;Caxias do Sul;Mateus Kienzle;Tenis Adidas;Edith Corso;feminino;pix
2023-02-20 15:46:52.818870;83;Florianópolis;Claudia dos Santos;Tenis NB;Roger Jaquet;masculino;boleto
2023-02-21 08:08:52.804877;84;Lajeado;Juliano Faccioni;Tenis NB;James Martz;masculino;credito
2023-02-21 08:19:44.674924;85;Canoas;Luis Fernando;Tenis Nike;Mary Warren;feminino;pix
2023-02-21 09:24:51.709871;86;Florianópolis;Mario Sérgio;Tenis Adidas;Rafael Garvin;masculino;credito
2023-02-21 09:43:45.904872;87;Caxias do Sul;Mateus Kienzle;Tenis Fila;Scott Edwards;masculino;credito
2023-02-21 10:20:53.901870;88;Lajeado;Juliano Faccioni;Tenis Adidas;Kyle Kahl;masculino;boleto
2023-02-21 12:12:49.793873;89;Canoas;Luis Fernando;Tenis Fila;Elaine Jones;feminino;credito
2023-02-21 13:25:41.749871;90;Porto Alegre;Luiza Cherobini;Tenis Nike;Denise Schroeder;feminino;credito
2023-02-21 13:53:55.801925;91;São Paulo;Cassia Moraes;Tenis Adidas;Sheila Rieves;feminino;credito
2023-02-21 14:24:44.536878;92;Porto Alegre;Luiza Cherobini;Tenis Adidas;Seymour Johnson;masculino;credito
2023-02-21 15:32:49.570939;93;Lajeado;Juliano Faccioni;Tenis Adidas;Pedro Williams;masculino;credito
2023-02-21 15:40:48.081870;94;Florianópolis;Claudia dos Santos;Tenis Nike;Joseph Johnson;masculino;credito
2023-02-21 15:52:47.069870;95;Caxias do Sul;Mateus Kienzle;Tenis NB;Paul Perry;masculino;credito
2023-02-21 17:11:50.488870;96;Canoas;Luis Fernando;Tenis Adidas;Theresa Bass;feminino;credito
2023-02-21 17:59:50.160873;97;Florianópolis;Claudia dos Santos;Tenis Fila;Phillip Nicewander;masculino;credito
2023-02-22 08:43:49.157924;98;Florianópolis;Mario Sérgio;Tenis NB;Helen Thomas;feminino;credito
2023-02-22 09:11:50.348880;99;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Christopher Williams;masculino;credito
2023-02-22 10:36:47.877872;100;São Paulo;Claudio Bueno;Tenis NB;Steven Philpot;masculino;credito
2023-02-22 11:31:43.321924;101;Canoas;Luis Fernando;Tenis Adidas;Francis Ferreira;feminino;boleto
2023-02-22 11:52:47.620871;102;Florianópolis;Mario Sérgio;Tenis Adidas;John Holmes;masculino;credito
2023-02-22 14:03:43.689871;103;Canoas;Carlos Henrique;Tenis NB;Andrea Lewis;feminino;credito
2023-02-22 14:27:40.973871;104;Porto Alegre;Rodrigo Tadewald;Tenis Adidas;Carlos Leppert;masculino;credito
2023-02-22 15:23:44.284871;105;Florianópolis;Claudia dos Santos;Tenis NB;Catherine Bauer;feminino;pix
2023-02-22 15:24:49.602871;106;São Paulo;Cassia Moraes;Tenis Nike;Robert William;masculino;credito
2023-02-22 17:20:50.809871;107;São Paulo;Claudio Bueno;Tenis NB;Andrea Middendorf;feminino;credito
2023-02-22 17:40:46.404924;108;São Paulo;Cassia Moraes;Tenis Adidas;Michael Pierson;masculino;credito
2023-02-22 17:45:49.391873;109;Porto Alegre;Luiza Cherobini;Tenis Adidas;Catherine York;feminino;pix
2023-02-23 08:39:41.268870;110;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Richard Lokke;masculino;credito
2023-02-23 09:16:53.659871;111;Canoas;Luis Fernando;Tenis Nike;Lawrence Smith;masculino;credito
2023-02-23 09:47:43.161877;112;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Kay Merritt;feminino;credito
2023-02-23 11:05:48.372923;113;Lajeado;Adriano Soares;Tenis NB;Maxine Corbett;feminino;credito
2023-02-23 13:36:42.599872;114;Lajeado;Juliano Faccioni;Tenis NB;William Smith;masculino;credito
2023-02-23 13:48:45.890871;115;Canoas;Carlos Henrique;Tenis Adidas;Julia Bennett;feminino;boleto
2023-02-23 13:52:50.912871;116;Canoas;Luis Fernando;Tenis Nike;Samuel Graham;masculino;credito
2023-02-23 14:37:46.609872;117;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Kerry Nash;feminino;pix
2023-02-23 14:53:45.392873;118;Canoas;Carlos Henrique;Tenis Adidas;Patricia Hong;feminino;credito
2023-02-24 07:21:49.003933;119;Florianópolis;Claudia dos Santos;Tenis NB;Judy Smith;feminino;credito
2023-02-24 08:35:47.365870;120;Canoas;Luis Fernando;Tenis Adidas;Jean Freeman;feminino;credito
2023-02-24 08:45:43.889872;121;Lajeado;Adriano Soares;Tenis Nike;Howard Riggle;masculino;credito
2023-02-24 09:23:44.915888;122;Caxias do Sul;Mateus Kienzle;Tenis NB;Johnny Taylor;masculino;credito
2023-02-24 13:35:47.422871;123;São Paulo;Claudio Bueno;Tenis NB;Kristen Lucas;feminino;credito
2023-02-24 14:28:50.020870;124;São Paulo;Cassia Moraes;Tenis Fila;Karen Petrie;feminino;pix
2023-02-24 15:15:41.633924;125;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Wendell Hays;masculino;credito
2023-02-25 08:22:55.819872;126;Canoas;Luis Fernando;Tenis Fila;Daniel Almazan;masculino;credito
2023-02-25 08:38:54.590870;127;Florianópolis;Mario Sérgio;Tenis NB;Barbara Spaniel;feminino;credito
2023-02-25 08:50:41.165871;128;Lajeado;Adriano Soares;Tenis Adidas;Tyler William;masculino;pix
2023-02-25 09:40:47.449875;129;Canoas;Luis Fernando;Tenis NB;Jose Barton;masculino;credito
2023-02-25 11:18:52.849873;130;Lajeado;Juliano Faccioni;Tenis NB;Elizabeth Cunningham;feminino;pix
2023-02-25 14:03:43.690871;131;Florianópolis;Claudia dos Santos;Tenis Fila;Pearl Graves;feminino;credito
2023-02-25 18:00:43.747871;132;Canoas;Luis Fernando;Tenis Adidas;James Crooms;masculino;credito
2023-02-25 18:02:46.235870;133;Porto Alegre;Luiza Cherobini;Tenis Adidas;Joyce Nord;feminino;credito
2023-02-26 09:07:49.386873;134;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Maria Ware;feminino;credito
2023-02-26 11:01:56.055873;135;Canoas;Luis Fernando;Tenis Nike;James Gelston;masculino;pix
2023-02-26 12:24:41.474924;136;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Timothy Veronesi;masculino;credito
2023-02-26 16:07:42.341870;137;Porto Alegre;Rodrigo Tadewald;Tenis NB;Elizabeth Cuozzo;feminino;credito
2023-02-26 17:25:43.385873;138;Florianópolis;Mario Sérgio;Tenis NB;Charles Gaudino;masculino;boleto
2023-02-27 08:17:54.092879;139;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Ramon Bermudez;masculino;boleto
2023-02-27 11:38:46.566876;140;São Paulo;Cassia Moraes;Tenis Fila;Rita Neil;feminino;credito
2023-02-27 12:05:41.267870;141;Canoas;Luis Fernando;Tenis Adidas;Benny Buck;masculino;credito
2023-02-27 14:09:54.520877;142;São Paulo;Cassia Moraes;Tenis Fila;Marsha Harris;feminino;pix
2023-02-27 15:18:45.606870;143;Porto Alegre;Luiza Cherobini;Tenis Fila;Clara Estrada;feminino;credito
2023-02-27 16:23:55.033871;144;São Paulo;Claudio Bueno;Tenis NB;Lisa Mcvay;feminino;pix
2023-02-27 17:32:50.136871;145;Lajeado;Juliano Faccioni;Tenis Nike;Ruth Olvera;feminino;credito
2023-02-28 07:37:42.084872;146;São Paulo;Claudio Bueno;Tenis NB;Albert Gonzalez;masculino;boleto
2023-02-28 07:45:42.741871;147;Canoas;Luis Fernando;Tenis Fila;Kathy Yeend;feminino;credito
2023-02-28 09:14:42.927879;148;Caxias do Sul;Mateus Kienzle;Tenis Adidas;Brian Ferguson;masculino;credito
2023-02-28 11:34:54.401872;149;São Paulo;Claudio Bueno;Tenis Nike;Jessica Davidson;feminino;credito
2023-02-28 12:33:51.014871;150;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Andrew Waddle;masculino;credito
2023-02-28 12:39:48.219871;151;Canoas;Carlos Henrique;Tenis NB;Jamal Leatherman;masculino;credito
2023-02-28 13:01:48.861879;152;Porto Alegre;Rodrigo Tadewald;Tenis NB;Thomas Tunson;masculino;credito
2023-02-28 13:21:43.440871;153;Caxias do Sul;Mateus Kienzle;Tenis Fila;Lawrence Reyes;masculino;credito
2023-02-28 14:48:41.085871;154;Caxias do Sul;Mateus Kienzle;Tenis Fila;Joshua Stoneback;masculino;credito
2023-03-01 11:51:44.666878;155;Porto Alegre;Luiza Cherobini;Tenis Adidas;Natasha Velasco;feminino;credito
2023-03-01 13:09:54.088870;156;Canoas;Carlos Henrique;Tenis Nike;Scott Walker;masculino;credito
2023-03-01 15:29:51.602871;157;Canoas;Luis Fernando;Tenis Fila;Marlyn Hodgdon;feminino;credito
2023-03-01 18:05:44.196871;158;Florianópolis;Mario Sérgio;Tenis NB;Guillermo Cavett;masculino;credito
2023-03-02 07:49:50.424871;159;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Sean Kumar;masculino;credito
2023-03-02 08:12:44.053870;160;Porto Alegre;Luiza Cherobini;Tenis Adidas;Carol Castellano;feminino;credito
2023-03-02 10:29:40.493872;161;Canoas;Carlos Henrique;Tenis Nike;Mildred Fairman;feminino;credito
2023-03-02 14:48:51.859872;162;São Paulo;Cassia Moraes;Tenis Fila;Kimberly Stephens;feminino;credito
2023-03-02 16:15:43.693872;163;Florianópolis;Claudia dos Santos;Tenis NB;Helen Weinstein;feminino;credito
2023-03-02 17:38:54.279871;164;Canoas;Carlos Henrique;Tenis NB;Louis Rollins;masculino;pix
2023-03-03 07:18:43.604871;165;Lajeado;Juliano Faccioni;Tenis Adidas;David Hickman;masculino;credito
2023-03-03 07:39:53.299873;166;Florianópolis;Mario Sérgio;Tenis Nike;Amy Kemp;feminino;credito
2023-03-03 08:37:50.982872;167;São Paulo;Claudio Bueno;Tenis Fila;Tommy Robinson;masculino;credito
2023-03-03 09:04:41.779871;168;Porto Alegre;Rodrigo Tadewald;Tenis Adidas;Susan Loera;feminino;boleto
2023-03-03 09:30:54.206873;169;São Paulo;Claudio Bueno;Tenis NB;Laura Hilton;feminino;credito
2023-03-03 10:52:51.242872;170;Porto Alegre;Luiza Cherobini;Tenis Nike;Eddie West;masculino;credito
2023-03-03 11:51:45.947879;171;Porto Alegre;Luiza Cherobini;Tenis Adidas;Tina Blankenbaker;feminino;credito
2023-03-03 12:37:45.904872;172;Lajeado;Adriano Soares;Tenis Fila;Jose Black;masculino;credito
2023-03-03 13:29:54.000876;173;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Linda Robards;feminino;credito
2023-03-03 13:44:52.916871;174;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Kenneth Bernard;masculino;credito
2023-03-03 15:02:48.890873;175;Porto Alegre;Luiza Cherobini;Tenis NB;Janet Bruster;feminino;credito
2023-03-03 15:53:45.007870;176;São Paulo;Claudio Bueno;Tenis Adidas;Elizabeth Wood;feminino;credito
2023-03-03 16:01:54.034877;177;Porto Alegre;Rodrigo Tadewald;Tenis Adidas;Elissa Jones;feminino;credito
2023-03-03 16:41:43.270870;178;Porto Alegre;Luiza Cherobini;Tenis Fila;Patricia Clewis;feminino;credito
2023-03-04 08:14:41.055871;179;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Mavis Mcbride;feminino;credito
2023-03-04 08:52:48.527876;180;Porto Alegre;Luiza Cherobini;Tenis Adidas;Brenda Bush;feminino;credito
2023-03-04 12:20:40.487871;181;Lajeado;Adriano Soares;Tenis Nike;Melvin Cannon;masculino;credito
2023-03-04 13:40:46.302871;182;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Joyce Sperry;feminino;boleto
2023-03-04 13:50:44.167872;183;São Paulo;Claudio Bueno;Tenis Nike;Samantha Henderson;feminino;credito
2023-03-04 13:55:49.812872;184;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Stephanie Hill;feminino;credito
2023-03-04 14:10:54.522879;185;São Paulo;Cassia Moraes;Tenis NB;Julius Mcgowan;masculino;boleto
2023-03-04 14:17:46.657924;186;Florianópolis;Claudia dos Santos;Tenis Fila;Rosa Smith;feminino;credito
2023-03-04 15:26:54.345877;187;São Paulo;Claudio Bueno;Tenis Fila;James Patton;masculino;pix
2023-03-04 15:58:44.323871;188;Canoas;Carlos Henrique;Tenis Fila;Bryan Boone;masculino;credito
2023-03-04 16:17:46.469951;189;São Paulo;Claudio Bueno;Tenis Fila;Charlotte Mcguffey;feminino;pix
2023-03-05 08:33:42.084872;190;Florianópolis;Claudia dos Santos;Tenis Nike;Heather Hernandez;feminino;credito
2023-03-05 08:34:44.557872;191;Caxias do Sul;Mateus Kienzle;Tenis Nike;Randy Nalley;masculino;credito
2023-03-05 09:27:54.133876;192;São Paulo;Cassia Moraes;Tenis Adidas;Jeanne Hodges;feminino;credito
2023-03-05 09:56:44.411871;193;Lajeado;Adriano Soares;Tenis NB;Marsha Wene;feminino;pix
2023-03-05 10:40:54.088870;194;Florianópolis;Claudia dos Santos;Tenis Fila;Michael Paul;masculino;credito
2023-03-05 12:17:42.271924;195;Canoas;Carlos Henrique;Tenis Fila;Glenn Jenkins;masculino;credito
2023-03-05 12:59:54.928870;196;Porto Alegre;Luiza Cherobini;Tenis Fila;Kelly Spies;feminino;credito
2023-03-05 13:31:42.075945;197;Canoas;Luis Fernando;Tenis Adidas;John John;masculino;pix
2023-03-05 14:39:50.887870;198;Caxias do Sul;Mateus Kienzle;Tenis NB;James Mulhern;masculino;credito
2023-03-05 15:10:47.822872;199;Porto Alegre;Luiza Cherobini;Tenis Nike;Beth Granger;feminino;pix
2023-03-05 15:44:45.645924;200;Porto Alegre;Rodrigo Tadewald;Tenis NB;Kirk Pope;masculino;credito
2023-03-05 16:01:49.154924;201;Caxias do Sul;Mateus Kienzle;Tenis Fila;Martha Mercer;feminino;credito
2023-03-05 16:09:47.303870;202;Canoas;Luis Fernando;Tenis Nike;Karen Plack;feminino;credito
2023-03-05 16:26:50.356870;203;Lajeado;Juliano Faccioni;Tenis Nike;Michael Klein;masculino;credito
2023-03-05 16:43:47.731871;204;Canoas;Carlos Henrique;Tenis Nike;Leonel Lewison;masculino;credito
2023-03-06 08:20:40.434877;205;Florianópolis;Claudia dos Santos;Tenis Fila;Deann Johnson;feminino;pix
2023-03-06 08:25:41.579872;206;Florianópolis;Mario Sérgio;Tenis NB;Leo Cave;masculino;credito
2023-03-06 09:52:46.034870;207;Florianópolis;Mario Sérgio;Tenis Nike;John Gregory;masculino;credito
2023-03-06 09:54:42.810873;208;Canoas;Luis Fernando;Tenis Adidas;Sheldon Johnson;masculino;credito
2023-03-06 10:57:42.567870;209;Lajeado;Juliano Faccioni;Tenis Adidas;Charlie Boyett;masculino;credito
2023-03-06 11:27:46.641877;210;Lajeado;Juliano Faccioni;Tenis Nike;Scottie Christiansen;masculino;pix
2023-03-06 14:23:42.969872;211;Canoas;Luis Fernando;Tenis Adidas;Steven Barnes;masculino;credito
2023-03-06 15:39:52.666871;212;Canoas;Carlos Henrique;Tenis Adidas;Herman Mcwilliams;masculino;credito
2023-03-06 15:51:45.905872;213;Porto Alegre;Luiza Cherobini;Tenis Nike;Shelton Buckles;masculino;credito
2023-03-06 17:44:42.921872;214;Caxias do Sul;Mateus Kienzle;Tenis Nike;Kathy Sturm;feminino;pix
2023-03-07 07:48:49.158924;215;Canoas;Carlos Henrique;Tenis Adidas;Jennifer Keatts;feminino;credito
2023-03-07 07:49:40.488870;216;Caxias do Sul;Mateus Kienzle;Tenis Fila;Lawrence Aiello;masculino;credito
2023-03-07 08:27:43.808872;217;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Arthur Dixon;masculino;boleto
2023-03-07 08:35:47.254870;218;Lajeado;Juliano Faccioni;Tenis NB;Cecelia Gasper;feminino;boleto
2023-03-07 12:24:40.298871;219;Florianópolis;Claudia dos Santos;Tenis Nike;Andrea Webb;feminino;credito
2023-03-07 13:23:43.321924;220;Florianópolis;Claudia dos Santos;Tenis Nike;April Baker;feminino;credito
2023-03-07 14:24:47.397871;221;Porto Alegre;Luiza Cherobini;Tenis Nike;Donna Becker;feminino;pix
2023-03-07 17:50:53.279875;222;Porto Alegre;Luiza Cherobini;Tenis Nike;William Smith;masculino;credito
2023-03-07 18:02:54.194872;223;Florianópolis;Mario Sérgio;Tenis Adidas;Arlene Wolter;feminino;pix
2023-03-08 07:47:41.744876;224;Lajeado;Adriano Soares;Tenis Nike;Clarissa Wyrick;feminino;credito
2023-03-08 12:40:40.656870;225;Porto Alegre;Rodrigo Tadewald;Tenis Adidas;Stanley Miller;masculino;boleto
2023-03-08 14:18:47.546871;226;Canoas;Carlos Henrique;Tenis Adidas;Irene Galloway;feminino;credito
2023-03-08 15:27:48.859872;227;Canoas;Luis Fernando;Tenis Fila;Elizabeth Rowell;feminino;credito
2023-03-08 15:50:56.117878;228;Porto Alegre;Rodrigo Tadewald;Tenis NB;Janis Johnson;feminino;pix
2023-03-08 16:36:52.681871;229;Florianópolis;Mario Sérgio;Tenis Adidas;Gwendolyn Fuller;feminino;credito
2023-03-08 16:41:42.558871;230;Florianópolis;Mario Sérgio;Tenis Nike;John Smith;masculino;credito
2023-03-09 07:16:50.981871;231;Florianópolis;Claudia dos Santos;Tenis Fila;Daniel Sullivan;masculino;credito
2023-03-09 07:24:44.517878;232;São Paulo;Cassia Moraes;Tenis Nike;Guy Stephens;masculino;credito
2023-03-09 07:43:45.900872;233;São Paulo;Cassia Moraes;Tenis Nike;Stella Hicks;feminino;credito
2023-03-09 08:32:48.013871;234;Canoas;Carlos Henrique;Tenis Adidas;Samuel Vanwoert;masculino;credito
2023-03-09 09:58:47.541871;235;Lajeado;Adriano Soares;Tenis NB;Margaret Barnes;feminino;credito
2023-03-09 11:15:52.673876;236;Porto Alegre;Luiza Cherobini;Tenis Adidas;Colleen Newsome;feminino;credito
2023-03-09 11:49:40.946924;237;Porto Alegre;Rodrigo Tadewald;Tenis Adidas;Jessica Kelley;feminino;credito
2023-03-09 11:55:50.026871;238;São Paulo;Cassia Moraes;Tenis Adidas;Grace Fowler;feminino;credito
